"","n113","n114","n115","n116","n117","n118","n119","n121","markers"
"Q80X90",0.1599459864,0.1505062847,0.0488769197,0.1498226636,0.117299057,0.1347608675,0.0743460156,0.1644422054,"unknown"
"Q8BMK4",0.0784261941,0.1000644868,0.0438119709,0.2437577744,0.2628269258,0.2015416705,0.0504571651,0.0191138125,"Endoplasmic reticulum"
"Q8BMS1",0.0311612193,0.0417311003,0.0133590385,0.1140768618,0.434454992,0.2744115821,0.0764301814,0.0143750245,"Mitochondrion"
"Q8K3F7",0.0241595868,0.0210928571,0.0104812867,0.1050357546,0.4782108056,0.2883074633,0.0710507784,0.0016614675,"Mitochondrion"
"Q8VDN2",0.3300999148,0.2080368022,0.0447558204,0.1715917803,0.1197665389,0.095318906,0.0253597659,0.0050704715,"Plasma membrane"
"Q99KI0",0.0271612548,0.032115332,0.0168612589,0.1112942731,0.4479340751,0.2634381503,0.0828547556,0.0183409002,"Mitochondrion"
"Q9QXZ0",0.1324161816,0.102718167,0.0324251195,0.1401839328,0.1513092571,0.2017989432,0.1040631978,0.135085201,"unknown"
"P02468",0.0985755271,0.1087463091,0.072479514,0.2217223246,0.2235380164,0.1543623313,0.0870939022,0.0334820752,"unknown"
"P10852",0.3105683728,0.2404028296,0.0321904794,0.1857444808,0.114529058,0.0965260565,0.0163085814,0.0037301415,"Plasma membrane"
"P14148",0.0906060558,0.0952846738,0.024888451,0.1567886943,0.1469621472,0.1459651951,0.2236079441,0.1158968386,"60S Ribosome"
"P35486",0.0296120835,0.0357314926,0.0098592705,0.1125939373,0.4416372289,0.2822610127,0.0733825033,0.0149224712,"Mitochondrion"
"P42932",0.0966912643,0.0959842776,0.0309999265,0.084723907,0.0683272724,0.076919623,0.1384403591,0.40791337,"unknown"
"P47911",0.0694001868,0.0784913331,0.026794347,0.1574138791,0.1541379876,0.1776513278,0.2218998579,0.1142110808,"60S Ribosome"
"P63017",0.045687831,0.0503951981,0.0204307228,0.062032913,0.0430858705,0.0544837298,0.0346292296,0.6892545052,"Cytosol"
"P80316",0.0708637742,0.0673256113,0.0212024428,0.0736958363,0.0592572104,0.1075248453,0.1716403485,0.4284899311,"unknown"
"P98203",0.3558546625,0.1902112488,0.040275957,0.1272599026,0.0832074184,0.0700376349,0.0372575984,0.0958955774,"unknown"
"Q03145",0.2121084371,0.2537831623,0.0615421949,0.2284967694,0.1158095245,0.0745146922,0.0299370793,0.0238081404,"Plasma membrane"
"Q8VEK3",0.0647353307,0.0739811492,0.016002934,0.1137620965,0.0967238208,0.2061335236,0.1825139185,0.2461472268,"unknown"
"Q91YQ5",0.0626787597,0.0950401522,0.0311189386,0.2851651047,0.245095592,0.2245348935,0.04651653,0.0098500293,"Endoplasmic reticulum"
"Q91ZX7",0.1230557145,0.2713128058,0.1048365173,0.2872127963,0.1026218259,0.06822824,0.0224519594,0.0202801408,"unknown"
"Q9JKR6",0.1104918656,0.1328566004,0.0550491254,0.1911686908,0.1856377343,0.1477271648,0.0684490287,0.1086197899,"Endoplasmic reticulum"
"O70133",0.0523209809,0.0553125394,0.0193781342,0.0747082499,0.0901501455,0.1467864142,0.2771775166,0.2841660192,"unknown"
"P09405",0.0263603262,0.0343003171,0.0049320153,0.0510768198,0.0516970764,0.0826564949,0.0373856126,0.7115913376,"unknown"
"P12970",0.0839334116,0.0948173446,0.0201656745,0.1627525398,0.145459696,0.1359119394,0.170277206,0.1866821882,"60S Ribosome"
"P14206",0.08962573,0.0769016429,0.0219425882,0.1144067115,0.1092561486,0.1146550638,0.2819667609,0.191245354,"40S Ribosome"
"P14733",0.0322182646,0.0407081209,0.0181885447,0.0549701407,0.080804593,0.5668396464,0.1909235942,0.0153470954,"unknown"
"P17182",0.0668377648,0.0660058013,0.0142662585,0.0372191523,0.0211112556,0.0326382881,0.0304029416,0.7315185378,"Cytosol"
"P23116",0.0457741073,0.0625022582,0.0235032264,0.1010391339,0.1018908726,0.1198151437,0.0761702116,0.4693050463,"unknown"
"P37040",0.1499973197,0.1606076934,0.0652760771,0.2309725085,0.1602584229,0.1396174462,0.0657237714,0.0275467608,"Endoplasmic reticulum"
"P51660",0.0782018551,0.0798178585,0.0283954398,0.1165953541,0.173082281,0.2928320943,0.2105225961,0.0205525211,"unknown"
"P54071",0.0250942982,0.0283029685,0.0205334363,0.10744813,0.4200739601,0.2626109041,0.0978781457,0.0380581571,"Mitochondrion"
"P54276",0.0223645956,0.0278414169,0.0103921348,0.0444159341,0.0569530311,0.4705802966,0.1224800735,0.2449725175,"unknown"
"P62702",0.0789284169,0.0753742282,0.0224548909,0.1175425489,0.1224975292,0.1285359536,0.2752361257,0.1794303065,"40S Ribosome"
"P97351",0.0283248836,0.0230891405,0.0071017031,0.0371945905,0.0566697497,0.1099084892,0.5113660895,0.2263453539,"40S Ribosome"
"Q04447",0.0454653162,0.0652995238,0.0142832146,0.0384576657,0.0197051646,0.0160571078,0.0149124228,0.7858195845,"Cytosol"
"Q07113",0.0919821324,0.259123181,0.1408622963,0.3247720117,0.1108176323,0.0418858304,0.0151668632,0.0153900527,"unknown"
"Q587J6",0.0522230025,0.053395514,0.0234922519,0.0933093592,0.1432980976,0.3677057073,0.2131403085,0.053435759,"unknown"
"Q6P5E4",0.0978512234,0.1297392576,0.0444642617,0.2065807417,0.2060836372,0.1915715275,0.0615950537,0.062114297,"Endoplasmic reticulum"
"Q6ZQ08",0.064209138,0.0712957951,0.0400365568,0.0872790417,0.0875998316,0.1138303822,0.4201168654,0.1156323892,"unknown"
"Q7TN89",0.3588108368,0.2107117957,0.0550299484,0.1475790116,0.0891581345,0.0590046372,0.0410167975,0.0386888384,"Plasma membrane"
"Q8BFR5",0.0251013214,0.0290548098,0.0199598189,0.1054266438,0.425751901,0.25052362,0.1353026257,0.0088792594,"Mitochondrion"
"Q8BH04",0.0562756639,0.0686152238,0.0290015134,0.1307780241,0.3629238541,0.233213165,0.0772250166,0.0419675392,"Mitochondrion"
"Q8BK67",0.0378997381,0.0423113403,0.0190477624,0.0723543934,0.0884135603,0.3997828945,0.2177813422,0.1224089688,"Nucleus - Chromatin"
"Q8BMF4",0.0443156608,0.0480369072,0.0171116088,0.120763902,0.4243213251,0.2681693875,0.0668176652,0.0104635435,"Mitochondrion"
"Q8CGK3",0.0440397649,0.0444450796,0.0261435068,0.1129121926,0.41042369,0.2630532452,0.079146961,0.0198355599,"Mitochondrion"
"Q925I1",0.050540384,0.0588354835,0.0438225096,0.1267787652,0.3793462404,0.2534779216,0.0639614955,0.0232372001,"Mitochondrion"
"Q99JY0",0.0304054482,0.0389085331,0.0154591362,0.1180750628,0.4195369488,0.3022442105,0.0574438792,0.0179267813,"Mitochondrion"
"Q9CZ13",0.0238593746,0.0264579352,0.008893208,0.1074046175,0.4620631153,0.2951189676,0.066396325,0.0098064568,"Mitochondrion"
"Q9R0P5",0.2001561478,0.2053180824,0.0405600779,0.1965457547,0.0792340177,0.0224465913,0.0097757038,0.2459636244,"unknown"
"Q9WTI7",0.2556952382,0.2814468314,0.0394191732,0.1960499073,0.0923915792,0.075928251,0.0274190341,0.0316499855,"Plasma membrane"
"Q9Z110",0.090866819,0.0774435565,0.0379646212,0.1173738108,0.3210133924,0.1991728548,0.0930104439,0.0631545015,"unknown"
"O88477",0.0790136787,0.0588273899,0.0307842363,0.0798370237,0.0881768954,0.1441715744,0.3863934126,0.132795789,"unknown"
"O88569",0.0614252655,0.0517355667,0.0176362274,0.0562873466,0.0541964116,0.1527933147,0.4736473196,0.1322785478,"unknown"
"P05201",0.0504780846,0.0601118345,0.0119600313,0.0365643886,0.0235556848,0.0159929557,0.0127732418,0.7885637787,"Cytosol"
"P05202",0.0634915157,0.0633598746,0.0164597681,0.1212430454,0.3955453756,0.2498025112,0.0726243079,0.0174736016,"Mitochondrion"
"P06151",0.0795867062,0.0785277205,0.0335088075,0.0645547089,0.0330965435,0.0215806536,0.0158686383,0.6732762216,"Cytosol"
"P11499",0.0915725236,0.0889088464,0.0206000388,0.062427988,0.0349419719,0.028043775,0.0136184249,0.6598864314,"Cytosol"
"P11688",0.3260600985,0.2319065772,0.0501062495,0.1675396079,0.0907966809,0.0620595053,0.0420867335,0.0294445473,"Plasma membrane"
"P13864",0.0592738842,0.0508659586,0.032294202,0.0649129262,0.0682200354,0.5101783773,0.1421355569,0.0721190595,"Nucleus - Chromatin"
"P14211",0.0569224348,0.1000539652,0.0264819624,0.312348971,0.2550233322,0.1984856357,0.0348201232,0.0158635754,"unknown"
"P20060",0.1670247388,0.2079361298,0.1263929296,0.2858886909,0.1266203742,0.0419718101,0.0267691299,0.0173961968,"Lysosome"
"P26039",0.1136597844,0.1228427251,0.0642271008,0.1826330446,0.1595476802,0.1713919574,0.086115877,0.0995818306,"unknown"
"P29341",0.0665494639,0.06425418,0.0198678506,0.0966837448,0.1146615833,0.1540321458,0.3378802007,0.1460708308,"unknown"
"P29758",0.0218569547,0.0294142393,0.012697458,0.0907504054,0.4310061505,0.2860709221,0.1088641244,0.0193397456,"Mitochondrion"
"P46935",0.1513959896,0.1528849908,0.0324994615,0.1042825698,0.053145198,0.038298382,0.020561694,0.4469317142,"unknown"
"P47962",0.0736498167,0.1116120918,0.0063189033,0.1712463213,0.1476997192,0.1627390026,0.1708991344,0.1558350107,"60S Ribosome"
"P50580",0.072415429,0.065536984,0.0231853189,0.0890774047,0.0880266361,0.1102554118,0.3981305588,0.1533722568,"unknown"
"P51150",0.0994908623,0.1787193281,0.0565529467,0.3001236757,0.1442618935,0.0846246998,0.020214921,0.1160116729,"unknown"
"P62806",0.0131292975,0.0139330764,0.0038167051,0.0390394052,0.0579372165,0.6367452466,0.2070277429,0.0283713098,"Nucleus - Chromatin"
"P67778",0.0206094686,0.0270491538,0.0178692403,0.1105979127,0.4545520957,0.2658567884,0.1015130237,0.0019523168,"Mitochondrion"
"P84099",0.0671823624,0.0884188797,0.0220441985,0.162009573,0.1623226965,0.1601587323,0.2108017102,0.1270618475,"60S Ribosome"
"Q501J6",0.0598630362,0.0614755266,0.020573341,0.0964902989,0.0880660396,0.130594924,0.3306862815,0.2122505522,"Nucleus - Nucleolus"
"Q61391",0.287254401,0.3235836277,0.052451074,0.1594733144,0.0731767464,0.0452811578,0.0304710324,0.0283086464,"Plasma membrane"
"Q7TMK9",0.0854103267,0.069248627,0.0200383315,0.0802633542,0.0872863293,0.1474171804,0.3005656572,0.2097701937,"unknown"
"Q8BH95",0.0760033792,0.0807703593,0.0376415916,0.1212983764,0.3470024621,0.2199651553,0.0746986303,0.0426200457,"Mitochondrion"
"Q8BSY0",0.0870220468,0.1224505822,0.0400888157,0.2447899152,0.2026792424,0.2197103611,0.0551718249,0.0280872116,"unknown"
"Q8VDD5",0.0676969076,0.0667376273,0.0722608783,0.0977642964,0.1360108934,0.2633829794,0.1015364482,0.1946099692,"unknown"
"Q8VDJ3",0.0920526642,0.090944543,0.0328796072,0.1549463716,0.1890613484,0.1908217248,0.1837120055,0.0655817352,"unknown"
"Q99LF4",0.0908748774,0.0961959641,0.026013185,0.1148679931,0.1057175254,0.137882873,0.2417195364,0.1867280457,"unknown"
"Q9CW03",0.0619984605,0.0713583645,0.0200102505,0.0845201155,0.0871850305,0.3476277355,0.176891032,0.1504090111,"Nucleus - Chromatin"
"Q9CZW5",0.0507229388,0.0570203147,0.0329162314,0.1309445967,0.344927193,0.2539137111,0.1096019743,0.01995304,"Mitochondrion"
"Q9D0R2",0.0776744151,0.0993632818,0.0474097239,0.0822554281,0.0546940019,0.0682920273,0.0546435162,0.5156676057,"unknown"
"Q9DBG6",0.0788825006,0.1005062334,0.0302597512,0.2099245606,0.242182328,0.2185608464,0.0679403876,0.0517433923,"Endoplasmic reticulum"
"Q9JKF1",0.1944914598,0.2021231885,0.0867555562,0.1557921655,0.091796336,0.0592101981,0.046824497,0.1630065988,"Plasma membrane"
"Q9Z0U1",0.238832519,0.1877097914,0.0710582231,0.1577622002,0.1133392519,0.0962486144,0.0816265655,0.0534228345,"unknown"
"E9Q7L0",0.0540443694,0.0693764966,0.020902206,0.1071960374,0.3878736275,0.2473648733,0.0788650478,0.0343773419,"unknown"
"Q5CZY9",0.0660547047,0.0638131593,0.0197000296,0.1224650647,0.1279656022,0.1383265963,0.2938490149,0.1678258284,"unknown"
"A2AQ25",0.1889551851,0.1765879981,0.0616455245,0.164647465,0.1355570206,0.1325740858,0.0933900317,0.0466426892,"unknown"
"O35435",0.0657000782,0.0953518178,0.0248077058,0.1326471827,0.300714891,0.2357306432,0.077154728,0.0678929532,"Mitochondrion"
"O54734",0.1031211454,0.1165356633,0.0532223292,0.2456933097,0.206434069,0.1976483484,0.0585531262,0.0187920088,"Endoplasmic reticulum"
"O88307",0.1173560008,0.2263823668,0.1094025081,0.2433549785,0.0983115677,0.0626738042,0.0423393074,0.1001794665,"unknown"
"P08003",0.1161086496,0.1226704025,0.0867599777,0.2224014805,0.1990157797,0.1551173008,0.0749121474,0.0230142617,"Endoplasmic reticulum"
"P11983",0.1021725871,0.1022897531,0.0170848224,0.0888361674,0.0718585846,0.1672218962,0.0874263522,0.3631098371,"unknown"
"P14869",0.0788435269,0.0633197541,0.0219211902,0.1173654156,0.1456338496,0.1503330777,0.3395004516,0.0830827342,"60S Ribosome"
"P17426",0.2044963706,0.1527886701,0.0328882649,0.1978766997,0.1734076718,0.1427493221,0.0529047109,0.04288829,"unknown"
"P17751",0.0403229161,0.0586610652,0.0090099393,0.0354802836,0.02602727,0.0210934752,0.0145191511,0.7948858995,"unknown"
"P21995",0.3091145117,0.2503255585,0.0315164374,0.1912746539,0.1184975279,0.0785426482,0.0156772303,0.0050514321,"Plasma membrane"
"P32507",0.2956574985,0.2850604877,0.0499770287,0.1965654667,0.0796671466,0.0529459518,0.0141272949,0.0259991252,"unknown"
"P35700",0.1131463367,0.0939221605,0.014234754,0.0893720079,0.0769411408,0.2696222785,0.2029500604,0.1398112612,"unknown"
"P47877",0.128383278,0.1694635613,0.0581979847,0.2559903731,0.1913875691,0.1340706945,0.0424557098,0.0200508294,"unknown"
"P50247",0.0459508968,0.0427488344,0.0195163971,0.0341309653,0.0271099309,0.0229852704,0.017111304,0.7904464011,"Cytosol"
"P51881",0.015629618,0.0209187977,0.009305849,0.1158331675,0.4968856193,0.2727356764,0.0680217769,0.0006694951,"Mitochondrion"
"P62245",0.070481699,0.0792972877,0.0157628526,0.1355803393,0.1289186948,0.151851715,0.2158571606,0.2022502509,"40S Ribosome"
"P62301",0.1072567648,0.0692948688,0.0276458333,0.0973106734,0.1076093389,0.099277625,0.3550969234,0.1365079723,"40S Ribosome"
"P62814",0.1759773696,0.1972568751,0.0787118461,0.1688574407,0.0752522734,0.0439950345,0.0375382644,0.2224108962,"unknown"
"P80313",0.0950565868,0.0836951943,0.0396525505,0.09361031,0.0702504575,0.1092364258,0.2265023396,0.2819961355,"unknown"
"P80317",0.0840312218,0.0759473789,0.0209223646,0.0731988503,0.0648122584,0.148147775,0.1806486757,0.3522914753,"unknown"
"Q05793",0.1370632137,0.1522122237,0.0799899295,0.2027760411,0.1860695156,0.1353295958,0.0768386664,0.0297208142,"unknown"
"Q3U9G9",0.0490035232,0.0688070717,0.0220334322,0.1096079446,0.0920937325,0.4702825049,0.1711916733,0.0169801175,"unknown"
"Q3UM18",0.1017805325,0.1717978957,0.0377298589,0.2889362627,0.1862219354,0.161259289,0.0347983132,0.0174759125,"unknown"
"Q5U458",0.0684173058,0.0823844587,0.0222801648,0.1363342448,0.3706020142,0.2382273246,0.0706452353,0.0111092518,"unknown"
"Q60597",0.0562592955,0.0555062073,0.0217123937,0.0998117208,0.2897088721,0.2606216039,0.0996727364,0.1167071703,"Mitochondrion"
"Q60864",0.028838201,0.0354003101,0.0079771933,0.0360960199,0.0219366568,0.0175601999,0.016078622,0.836112797,"unknown"
"Q60932",0.0433886806,0.0520334384,0.0065465596,0.1379069973,0.3977897623,0.2610345031,0.0972880815,0.0040119771,"unknown"
"Q76MZ3",0.103478605,0.1109098066,0.0224324035,0.0965813498,0.0617975469,0.0679456697,0.0321709745,0.504683644,"unknown"
"Q791V5",0.0492219468,0.0528543917,0.0207760458,0.1384228764,0.3851119855,0.2696280376,0.0795533416,0.0044313747,"Mitochondrion"
"Q8BWT1",0.0318304834,0.0348770797,0.0190035851,0.1032809139,0.426447602,0.2703630885,0.0980171295,0.016180118,"Mitochondrion"
"Q8C129",0.1492030828,0.285097658,0.0998010118,0.2743208942,0.0930988568,0.0522372659,0.0278028752,0.0184383553,"unknown"
"Q8CAQ8",0.0448482651,0.0556372735,0.0210881704,0.1291846113,0.3986547328,0.2498102893,0.0720514279,0.0287252297,"unknown"
"Q8K0D5",0.0311441968,0.0338872391,0.0213074563,0.1091004125,0.4335367731,0.2497034441,0.106194763,0.0151257151,"Mitochondrion"
"Q8VEM8",0.0276747516,0.0309326606,0.0150559258,0.117951263,0.45593203,0.2721465236,0.0739665293,0.0063403161,"Mitochondrion"
"Q922Q8",0.0680980474,0.1061272348,0.0241653801,0.265817463,0.2608762854,0.2317167985,0.041614451,0.0015843399,"unknown"
"Q99JR1",0.0480283202,0.0576149248,0.022498449,0.142499677,0.378730718,0.2649284211,0.0519938086,0.0337056814,"Mitochondrion"
"Q99LC5",0.0200171828,0.0277349966,0.0121768993,0.1058624127,0.4577702357,0.2984149601,0.0716468567,0.0063764561,"Mitochondrion"
"Q99PV0",0.1588596841,0.1013421417,0.0375144241,0.0775801819,0.082980191,0.1493629281,0.2715229912,0.1208374579,"unknown"
"Q9CZX8",0.0533644549,0.0511820655,0.0176025937,0.1279741424,0.1248042693,0.1475792405,0.2929836744,0.1845095592,"40S Ribosome"
"Q9D8N0",0.0531182761,0.0514093998,0.0290547692,0.0798051069,0.0724700579,0.3109570003,0.1496096552,0.2535757347,"unknown"
"Q9DBJ1",0.0538311564,0.0571233933,0.0176444542,0.0338976825,0.0193850859,0.0046580231,0.0036573463,0.8098028582,"Cytosol"
"Q9DCW4",0.0289683277,0.0402526318,0.0117872553,0.1428062261,0.4001501247,0.2764919913,0.0543818161,0.045161627,"Mitochondrion"
"Q9JLF6",0.3699584819,0.2257053223,0.0329868436,0.1549241259,0.1110838319,0.072833816,0.0237628671,0.0087447113,"Plasma membrane"
"Q9WV54",0.1503533117,0.2150689096,0.0486681321,0.3414267112,0.1521789366,0.0505840226,0.0233644521,0.018355524,"Lysosome"
"Q9Z1G4",0.140584427,0.2969278795,0.0614521875,0.2851696597,0.1150255049,0.0632770198,0.0149596803,0.0226036413,"unknown"
"O08749",0.0414832851,0.0399290759,0.0297209042,0.1066628623,0.4049692631,0.244722134,0.1162395228,0.0162729527,"Mitochondrion"
"O08756",0.051018253,0.0543724763,0.0254662618,0.1279028393,0.3983129918,0.2420330078,0.0817113391,0.0191828308,"Mitochondrion"
"O08795",0.1133474778,0.1507983951,0.0488563978,0.2646651893,0.2145881069,0.1597732542,0.0382804838,0.009690695,"unknown"
"O08810",0.0524228028,0.0603690907,0.0197919589,0.060160936,0.059096708,0.1745179601,0.3333227596,0.2403177839,"unknown"
