,n113,n114,n115,n116,n117,n118,n119,n121,markers
Q68FD5,0.34396299685084214,0.3275619396054892,0.10524251863014943,0.226557620121319,0.2938451825618182,0.12247302221410301,0.08521336118240447,0.23283416875530677,unknown
Q6ZWN5,0.21878421495431785,0.26260047047987345,0.044284483064164694,0.17762915976320498,0.27334504522968256,0.18655938612705344,0.286283992726259,0.2026995493414756,40S Ribosome
Q78PY7,0.22306062041240246,0.2694970123369,0.11844337327591106,0.22292811083989347,0.36949546193437216,0.2391179001154613,0.2643701543260814,0.04601512214148934,unknown
Q80X90,0.3571614296044902,0.41658740750970064,0.1270358520618655,0.18574988895522593,0.2297493056782569,0.18903596208214607,0.11121296447654201,0.18223904043474895,unknown
Q8BMK4,0.17512669266451333,0.2769691991460118,0.11387155917256292,0.3022168611485895,0.514789336423231,0.2827128103980956,0.07547803153358652,0.021182413849149886,Endoplasmic reticulum
Q8BMS1,0.06958340052105884,0.1155078070072398,0.034721435986375504,0.14142987624843212,0.8509508542805478,0.38493116281517936,0.11433063332816805,0.01593076828867443,Mitochondrion
Q8K3F7,0.05394866576121706,0.05838306801457828,0.027241880110525838,0.13022011270110878,0.9366537409967405,0.4044236261715851,0.1062836741210629,0.001841280601759196,Mitochondrion
Q8VDN2,0.7371173240161305,0.5758265328777089,0.11632471551274583,0.21274068172462127,0.23458227081708724,0.1337087051649296,0.03793525075162362,0.0056192256632903465,Plasma membrane
Q99KI0,0.06065142872644049,0.08889225407338308,0.04382404628492194,0.13797983847247766,0.8773518336456634,0.36953816872024436,0.12394104669753642,0.020325852751896353,Mitochondrion
Q9QXZ0,0.2956870240229034,0.2843143392980086,0.0842760286280952,0.1737991520848233,0.2963638212489455,0.2830736999743071,0.15566640157978776,0.14970486042371692,unknown
P02468,0.22012041049285225,0.3009996763558244,0.1883812825058186,0.27489585096115216,0.43783560903302754,0.21653193800150086,0.13028231537793433,0.0371056885388385,unknown
P10852,0.6935031413779087,0.6654126885178524,0.08366617626394589,0.23028813721337868,0.2243238115331551,0.13540203691901204,0.024395734852278937,0.00413383781853509,Plasma membrane
P14148,0.20232447933655814,0.26373912101326025,0.06468749664854573,0.19438683521446234,0.2878492985684087,0.20475284552644077,0.3344913932935216,0.1284398284765705,60S Ribosome
P35486,0.0661241605023953,0.09890145051654478,0.025625199713146304,0.13959124823133123,0.865018434900499,0.3959419606290776,0.10977166250053388,0.016537462665306587,Mitochondrion
P42932,0.21591282760474195,0.26567555930822484,0.08057181387358794,0.10503613868460036,0.13383009032024126,0.10789908974725894,0.2070906236797446,0.45205998635496725,unknown
P47911,0.1549715031318014,0.21725671478294983,0.06964110509579208,0.19516198073882696,0.3019043506014185,0.2492006046625049,0.33193629564167826,0.1265716287456674,60S Ribosome
P63017,0.10202150990322283,0.13948922444842457,0.05310142895804832,0.07690234137781335,0.08439069405236814,0.07642711472280106,0.051801286864858125,0.7638493982578008,Cytosol
P80316,0.15823971248109908,0.18635103461877434,0.05510720404279006,0.09136280618278415,0.11606489680330837,0.15083060057489925,0.2567539339723781,0.47486345545944436,unknown
P98203,0.7946280044318971,0.5264870578309787,0.10468111629182836,0.15777508341539462,0.16297527954278626,0.09824537301438484,0.055733019905648704,0.10627392137439796,unknown
Q03145,0.4736408479569706,0.7024482058201427,0.15995412998333636,0.2832952563318123,0.22683181370165734,0.10452557029793523,0.044782377506755344,0.026384787594388347,Plasma membrane
Q8VEK3,0.14455481990594946,0.20477294493879936,0.04159317667025153,0.14103960938090707,0.18944935483452477,0.28915403762229985,0.27301952593966566,0.2727866262106609,unknown
Q91YQ5,0.13996247060744194,0.263062307951087,0.08088113785762722,0.3535564118829196,0.48005963156891657,0.3149665804413489,0.06958330122619243,0.010916053354549343,Endoplasmic reticulum
Q91ZX7,0.27478498148686265,0.7509686297664941,0.27248027052744084,0.3560952755581385,0.2010015583327321,0.09570724223463137,0.033585511517055175,0.022474968578070426,unknown
Q9JKR6,0.24672974649499044,0.36773472178592853,0.14307801296343728,0.23701343204574465,0.3636017343524743,0.2072244505522773,0.10239176014789561,0.12037521775781315,Endoplasmic reticulum
O70133,0.11683341831297885,0.15309996813325213,0.050365649156613616,0.09261806362161802,0.1765737412144655,0.20590481156471768,0.4146252231347814,0.31492002030258864,unknown
P09405,0.05886294493747108,0.09494008975061526,0.012818785837227325,0.06331825134795097,0.10125714317120045,0.11594649341181705,0.05592451421186264,0.7886036448517706,unknown
P12970,0.1874243796506925,0.26244559722274446,0.05241254273455644,0.20178120588266638,0.2849065032140056,0.1906506295154959,0.25471483184692456,0.2068859558351996,60S Ribosome
P14206,0.2001353993096887,0.2128566000602882,0.05703091368152718,0.14183884575419747,0.21399595976232325,0.16083252278724638,0.4217893737877369,0.2119429724004655,40S Ribosome
P14733,0.0719437961708787,0.11267629510704717,0.04727379073624044,0.0681454484751847,0.15826895468873325,0.7951349667849792,0.2855994195269064,0.01700804201909925,unknown
P17182,0.14924958209227482,0.18269792320617576,0.037079388705469736,0.04613659731420305,0.041349832131184254,0.04578339621995799,0.04547925314968973,0.810687475667379,Cytosol
P23116,0.10221416598258155,0.17300044153598013,0.061087163639875035,0.12526483763973822,0.19956986725649237,0.16807083080954552,0.11394174884123162,0.5200958057018217,unknown
P37040,0.3349459298523152,0.444547167933771,0.16965885175563808,0.2863648416494007,0.31389221986982785,0.19584853344661993,0.09831509321627409,0.0305280219458645,Endoplasmic reticulum
P51660,0.17462574081345744,0.22092841379859746,0.07380250048090504,0.14455246981515307,0.3390098343668608,0.41077055751759856,0.3149172395134878,0.02277682736416847,unknown
P54071,0.0560358882505437,0.0783399862387522,0.05336839130082371,0.13321113550652133,0.8227832613052533,0.3683777481605014,0.14641428532403966,0.0421770190551028,Mitochondrion
P54276,0.04994042749560542,0.07706245430804767,0.027010165680710116,0.055059644071095835,0.11155178640095269,0.6601070529965433,0.18321589870432486,0.27148478344407284,unknown
P62702,0.1762481625886125,0.20862885813354057,0.0583624380576039,0.14572686466595788,0.23993136007054178,0.18030395694003742,0.41172112887425744,0.19884923582685604,40S Ribosome
P97351,0.06324982669247384,0.06390859492475554,0.018458014742669875,0.046106143967703996,0.11099693364572921,0.15417425980073304,0.7649440025414316,0.25084168630105025,40S Ribosome
Q04447,0.10152463151405584,0.1807430127298863,0.03712345925296674,0.04767218826087288,0.03859577392106202,0.022524126458519065,0.022307244493618504,0.8708652786902671,Cytosol
Q07113,0.20539727595223667,0.7172288812631684,0.3661147622169296,0.40266367855826946,0.21705437988161644,0.058755396831157984,0.022687857643337816,0.017055648393099317,unknown
Q587J6,0.11661463129492358,0.1477938200005805,0.061058639850589416,0.11568095098246219,0.2806726607240764,0.5157996043810826,0.31883303182329126,0.05921886915451514,unknown
Q6P5E4,0.21850303108382554,0.3591062066514304,0.11556692618993485,0.2561223135739177,0.4036483648657959,0.26872718082279196,0.09213901328518267,0.0688366460120402,Endoplasmic reticulum
Q6ZQ08,0.14337982488913517,0.19734013437547712,0.1040588919663707,0.10820416392586298,0.17157853611416696,0.1596756997231069,0.6284458104534439,0.12814675891585575,unknown
Q7TN89,0.8012291793842187,0.5832306662631789,0.1430281700815629,0.1829680605965843,0.17463072611865618,0.08276882278462615,0.06135634312740517,0.04287595613547439,Plasma membrane
Q8BFR5,0.056051571145806396,0.080421013078595,0.0518775040760604,0.13070476302194586,0.8339044332295696,0.3514222964689803,0.20239694063116628,0.009840221425461523,Mitochondrion
Q8BH04,0.12566427594000443,0.189920562158026,0.07537774451552866,0.16213708347505043,0.7108454716183439,0.32714003578225165,0.11551961404420129,0.046509495871889545,Mitochondrion
Q8BK67,0.08463059902972198,0.11711385739786132,0.04950698082465218,0.08969959642444442,0.17317235629155742,0.5607959156673773,0.32577547671219437,0.1356567370308397,Nucleus - Chromatin
Q8BMF4,0.09895743632861591,0.13296169442439282,0.044474729942061295,0.1497209116067393,0.8311024173553495,0.3761749171512445,0.09995143070307426,0.011595965417447842,Mitochondrion
Q8CGK3,0.09834135726165147,0.12301984946364357,0.06794950832843041,0.1399858422320176,0.8038816357356408,0.3689982426479458,0.11839461860978676,0.021982272701032417,Mitochondrion
Q925I1,0.11285732270303409,0.1628511499682562,0.11389895027540535,0.15717853739857782,0.7430113896274301,0.35556644644068347,0.09567893409620733,0.025752057011844555,Mitochondrion
Q99JY0,0.0678957540060991,0.10769520333614598,0.04017979347637633,0.14638711067041438,0.8217314372201171,0.423973414356554,0.0859293406016014,0.01986691563913799,Mitochondrion
Q9CZ13,0.053278288085915115,0.07323310554770243,0.023114309632801977,0.13315718582695632,0.9050258598388167,0.413978471672837,0.09932115492680067,0.010867765200239883,Mitochondrion
Q9R0P5,0.44695123335946135,0.5683013691579025,0.10541957405147485,0.24368027202059292,0.1551927271902426,0.031486981796553286,0.01462331223359597,0.27258315335455247,unknown
Q9WTI7,0.570970731270395,0.7790186707382445,0.1024542521454406,0.24306548757145433,0.18096395414089037,0.1065084415325515,0.041015675698757886,0.03507532006922183,Plasma membrane
Q9Z110,0.20290676689122877,0.21435656653788907,0.09867373050409235,0.14551765199315334,0.6287570071200302,0.27938995144688855,0.1391327714056825,0.06998942713337579,unknown
O88477,0.17643855327651944,0.16282874763570152,0.08001121413639964,0.09897705708490834,0.17270880954323686,0.20223684202390357,0.5779994599933025,0.1471676757330536,unknown
O88569,0.1371634020559291,0.14319924015504049,0.045838264536048876,0.06977860759557862,0.10615249818549717,0.21433099815890258,0.7085211238823153,0.14659445586086792,unknown
P05201,0.11271820734747989,0.16638397090807452,0.031085280664323058,0.04532477791045009,0.04613764480285524,0.0224341370263637,0.019107279322090283,0.8739064645984598,Cytosol
P05202,0.14177736513160752,0.1753742440215437,0.042780532778218694,0.15031498533028287,0.7747400339999779,0.35041076026931983,0.10863749065008603,0.01936469035292502,Mitochondrion
P06151,0.1777181309996569,0.21735743172418745,0.08709263878467222,0.08002903096662937,0.06482497032755538,0.030272286690626482,0.023737631308233743,0.7461418573988391,Cytosol
P11499,0.20448261427250738,0.24609142336003845,0.053541497654269916,0.07739218153073829,0.06843954238314263,0.039338437677690345,0.020371574621816792,0.7313029508557467,Cytosol
P11688,0.7280963626433384,0.6418958515437744,0.13023099937406496,0.2077165299861052,0.1778400860858178,0.08705404253002115,0.06295684254085555,0.032631197282565624,Plasma membrane
P13864,0.13235934014711231,0.1407922457584242,0.08393576135543585,0.08047317250181221,0.13362004919183715,0.7156533063013534,0.2126182084245173,0.07992417863994766,Nucleus - Chromatin
P14211,0.12710852361679756,0.2769400763351233,0.06882918724017473,0.38726076985414815,0.499504727516313,0.2784259540629319,0.05208684141656162,0.01758041831005685,unknown
P20060,0.3729683740855942,0.5755478810313268,0.3285074756118762,0.3544535619806539,0.2480066234221395,0.058876004954350976,0.04004349484784816,0.01927890838203299,Lysosome
P26039,0.2538037496190784,0.34001724567742136,0.1669324606720526,0.22643037252559997,0.31250011454505194,0.24042026562533958,0.12881930379692413,0.11035912106102004,unknown
P29341,0.14860580250194017,0.1778495982491132,0.05163846954964402,0.11986473775290252,0.22458338391539345,0.21606876991111973,0.505429355622065,0.16187941517657714,unknown
P29758,0.04880685888503534,0.08141588052805712,0.03300192413822982,0.11250819056806023,0.8441957365474243,0.4012863154275863,0.16284802759042613,0.021432798665178682,Mitochondrion
P46935,0.3380691775953343,0.4231714449098778,0.08446925069225042,0.1292862642986213,0.10409352515624647,0.05372309945659518,0.03075789503909241,0.49530110921064957,unknown
P47962,0.16446098095200876,0.3089318965143301,0.01642344218373552,0.21231235877482865,0.2892939534464758,0.22828232331451762,0.2556451641653138,0.17270032803942703,60S Ribosome
P50580,0.16170457745892183,0.18140028049316886,0.06026089123180924,0.11043389348843856,0.17241450223395732,0.1546609058774143,0.5955568611917681,0.1699710414400943,unknown
P51150,0.2221643656802099,0.4946784894295818,0.1469865902912815,0.3721030389946795,0.28256041195161224,0.11870739510196308,0.030239163093349463,0.12856709077270725,unknown
P62806,0.029317888934552585,0.03856546049010664,0.009919986517631707,0.0483934674246835,0.11347947378473684,0.893195127971882,0.3096893469136545,0.031441808149265976,Nucleus - Chromatin
P67778,0.04602120649752578,0.07486954368273743,0.04644388764966965,0.13711644472489334,0.8903143047575531,0.372930916100429,0.15185163868626295,0.00216360720407025,Mitochondrion
P84099,0.1500190729324293,0.24473524107352507,0.05729500870056665,0.20086002643337156,0.3179354358892879,0.22466284617964025,0.3153347616394241,0.14081317571691,60S Ribosome
Q501J6,0.13367492408460552,0.17015854389492907,0.053472107484185676,0.11962489071312855,0.1724916804056991,0.18319218003983795,0.49466809190160926,0.23522146805672553,Nucleus - Nucleolus
Q61391,0.6414427447073563,0.8956494065667886,0.13632542553924404,0.19771540503115373,0.14332857490230194,0.06351819625171583,0.045581109041501366,0.031372362973323464,Plasma membrane
Q7TMK9,0.19072234992424014,0.19167376334508812,0.05208156593388227,0.09950564987695179,0.17096449080471884,0.20678961957818567,0.4496111524912992,0.23247267159127646,unknown
Q8BH95,0.16971651606160074,0.22356484748449865,0.09783414526162866,0.15038358836895022,0.6796608325344053,0.3085563749185881,0.11174043492386222,0.04723262019479794,Mitochondrion
Q8BSY0,0.19432134148379512,0.33893183057724824,0.10419471791305601,0.303496577676621,0.3969803032329163,0.3081989620611059,0.08253061247723001,0.031126963287928213,unknown
Q8VDD5,0.1511680589330441,0.18472354955590517,0.1878130271286156,0.12120447719727964,0.2663994845527992,0.36946077767673213,0.15188667900503938,0.21567172466323573,unknown
Q8VDJ3,0.20555477436209096,0.2517260423446257,0.08545728621501997,0.1921026015041413,0.37030744011433125,0.26767539422186126,0.27481172429616785,0.07267934934235441,unknown
Q99LF4,0.2029247614013075,0.26626148786539827,0.06761078933781375,0.14241077323501874,0.20706498994849964,0.19341535889270944,0.36158422207281554,0.20693677628470894,unknown
Q9CW03,0.13844335380870496,0.19751332065927513,0.052008580692921004,0.10478346448470213,0.1707660806080705,0.48763520631596036,0.26460834382676535,0.16668709708027005,Nucleus - Chromatin
Q9CZW5,0.11326496990204601,0.15782693143750343,0.0855524760608949,0.1623436112175224,0.6755960800375412,0.3561777506636828,0.1639517649468329,0.02211246714011878,Mitochondrion
Q9D0R2,0.1734479605598193,0.27502832887826784,0.12322246795872223,0.10197555504385372,0.1071271098222918,0.09579671994316662,0.08174032430628264,0.5714759749023197,unknown
Q9DBG6,0.1761456309045155,0.27819191267745697,0.07864802652185254,0.26026820172510234,0.47435352959013033,0.30658647899184943,0.10163089241168824,0.05734334527230063,Endoplasmic reticulum
Q9JKF1,0.43430191273641255,0.5594581997864541,0.22548609999594668,0.1931512728028035,0.17979807339634435,0.08305717357383408,0.07004398392390712,0.18064806463513963,Plasma membrane
Q9Z0U1,0.5333160640164807,0.5195632562413036,0.1846872096874516,0.19559385230977167,0.22199338252240222,0.13501285469372257,0.12210381761593193,0.05920454589442281,unknown
E9Q7L0,0.1206817668353644,0.19202769451327475,0.05432685949688923,0.13289857440360353,0.7597136659762905,0.34699136089780414,0.11797290935685582,0.03809784589858881,unknown
Q5CZY9,0.14750099889192614,0.17662889394140055,0.05120228650333648,0.15183012579928049,0.25064147153501865,0.19403779226279566,0.4395638393234965,0.18598885762561562,unknown
A2AQ25,0.4219393406516705,0.4887791660822714,0.16022269362973185,0.2041306596566316,0.2655105007592957,0.18596845153407743,0.13970059046332045,0.051690616179879016,unknown
O35435,0.14670911339003626,0.2639249693646801,0.06447763204691237,0.16445459011167632,0.588999086449286,0.3306714312265399,0.11541447050003391,0.07524069999762556,Mitochondrion
O54734,0.23027083418903777,0.3225598848137028,0.13832999256373157,0.30461666601435833,0.4043347426150867,0.2772514483386002,0.0875886446841555,0.020825782792337558,Endoplasmic reticulum
O88307,0.2620574480285533,0.6266053505945197,0.28434772320950175,0.30171744811244816,0.19255921570806786,0.08791575101944968,0.06333466362436231,0.11102143638743173,unknown
P08003,0.25927209687446595,0.33954027273684,0.2254975919030337,0.2757379134300906,0.38980481492781255,0.2175909723370818,0.11205983159180463,0.025504990998632,Endoplasmic reticulum
P11983,0.22815269139523273,0.28312852944097927,0.04440510949198884,0.11013479150546521,0.14074674034994403,0.23457070747461436,0.13077962178691727,0.40240757003081407,unknown
P14869,0.17605860213485217,0.17526319420647246,0.056975298205365746,0.14550724306813445,0.28524761140110183,0.2108798978738358,0.5078530619139295,0.09207440219178245,60S Ribosome
P17426,0.4566430062819358,0.4229048381646345,0.0854797884165324,0.24533046578718073,0.3396471652396409,0.2002417759721505,0.07913927446521324,0.047529895360350356,unknown
P17751,0.09004158643957016,0.16236837632485598,0.023417705596557634,0.043980632725392335,0.05097864692297165,0.029588896628970487,0.021718955918248913,0.8809127998960314,unknown
P21995,0.6902566509806832,0.6928778798626001,0.08191427576937597,0.2371448121156261,0.23209670611090144,0.11017579021570591,0.0234513072741516,0.005598125715269013,Plasma membrane
P32507,0.6602069687042013,0.7890209355117639,0.12989514198917096,0.24370471226382387,0.15604108067738265,0.0742699948623285,0.021132784765715586,0.028812892755030524,unknown
P35700,0.252657214349975,0.2599678108352442,0.03699750545616008,0.11079916204894018,0.15070175437892058,0.37821296167470747,0.3035896096868607,0.1549424007120501,unknown
P47877,0.2866814987974634,0.46905938718802365,0.15126220351091216,0.3173836472471212,0.37486372218810265,0.1880678211115626,0.06350878803266731,0.022220839843934942,unknown
P50247,0.10260893919308994,0.11832480040454756,0.05072500783588089,0.042307658524502835,0.053099214610570336,0.03224261452444475,0.025596514198392515,0.8759928346933049,Cytosol
P51881,0.034901136531751524,0.05790128777302074,0.02418680359012188,0.14360746038478836,0.9732314048840622,0.38258028416445794,0.10175264130780085,0.0007419515221349999,Mitochondrion
P62245,0.15738653368168148,0.21948752220772788,0.040969181839963446,0.16809131194296603,0.25250825860643633,0.21301016809534007,0.32289712555645045,0.22413887944428668,40S Ribosome
P62301,0.2395057251072138,0.19180175634962593,0.07185420052617995,0.1206420453560083,0.21077041477640562,0.1392618028012139,0.5311835638951654,0.15128161181694594,40S Ribosome
