Protein_ID,CYTOSOL,ER,GA,LYSOSOME,MITOCHONDRION,NUCLEUS/CHROMATIN,PEROXISOME,PM,PROTEASOME,RIBOSOME,markers,score,pred,FDR,qvalue
Q13823,2.5840748207883735e-07,1.1065307603530528e-07,2.874021376442215e-08,3.4460178710560285e-08,6.469894628935435e-07,0.9999682903289795,4.5872999976381834e-07,6.59688885207288e-06,3.2889063277252717e-06,2.026734182436485e-05,NUCLEUS/CHROMATIN,0.9999682903289795,NUCLEUS/CHROMATIN,0.0,0.0
Q9H8H0,8.05789923674638e-08,3.19436388451777e-09,3.2488107759576224e-09,5.577071249263099e-09,1.7605827906663762e-07,0.9999297857284546,1.3915599765823572e-06,1.7360030142299365e-06,5.040713949711062e-05,1.6274067093036138e-05,NUCLEUS/CHROMATIN,0.9999297857284546,NUCLEUS/CHROMATIN,0.0,0.0
Q14683,2.0902007236145437e-08,2.1492712676263181e-07,3.527827630023239e-08,3.1216200735428856e-09,1.7002030006096902e-08,0.9999289512634277,9.777425447055066e-08,4.2829892663576175e-06,6.227022095117718e-05,4.114403509447584e-06,NUCLEUS/CHROMATIN,0.9999289512634277,NUCLEUS/CHROMATIN,0.0,0.0
Q9Y5J1,4.923845153825823e-08,2.5975597228722336e-09,3.5563734179788753e-09,3.3170930446857483e-09,1.825822408818567e-07,0.9999222755432129,1.20558195249032e-06,1.644841063352942e-06,4.5260316255735233e-05,2.9298773370101117e-05,NUCLEUS/CHROMATIN,0.9999222755432129,NUCLEUS/CHROMATIN,0.0,0.0
Q9UQE7,5.213594889141859e-08,4.6533679665117234e-07,9.561489378029364e-08,8.963871422906777e-09,4.026541589041699e-08,0.9998817443847656,2.385698110174417e-07,6.407152795873117e-06,0.0001013201181194745,9.543908163323067e-06,NUCLEUS/CHROMATIN,0.9998817443847656,NUCLEUS/CHROMATIN,0.0,0.0
Q12996,1.990843429666711e-06,9.868349479802419e-07,2.3807389482044528e-07,4.513150315688108e-07,3.830281457339879e-06,0.9998769760131836,2.9661641747225076e-06,5.373865496949293e-05,5.7017491599253844e-06,5.309136031428352e-05,NUCLEUS/CHROMATIN,0.9998769760131836,NUCLEUS/CHROMATIN,0.0,0.0
Q9BVJ6,8.680886764977913e-08,5.836617447130266e-07,5.3505875285964066e-08,8.0706321625712e-09,3.096162970450678e-08,0.9998613595962524,3.852250358704623e-07,6.912437584105646e-06,0.00012732077448163182,3.227837623853702e-06,NUCLEUS/CHROMATIN,0.9998613595962524,NUCLEUS/CHROMATIN,0.0,0.0
Q9BSC4,8.61624656067761e-08,6.054189611859329e-07,1.4397471659322036e-07,1.218677958547687e-08,4.286359711613841e-08,0.9998183846473694,3.847235063858534e-07,5.5165387493616436e-06,0.0001604692661203444,1.4436946003115736e-05,NUCLEUS/CHROMATIN,0.9998183846473694,NUCLEUS/CHROMATIN,0.0,0.0
Q5QJE6,2.1776980929644196e-07,1.4732464705957682e-06,1.0116984583419253e-07,1.3023827349911699e-08,9.127530375963033e-08,0.9998086094856262,8.563803817196458e-07,1.7043270418071188e-05,0.0001665018789935857,5.113366569275968e-06,NUCLEUS/CHROMATIN,0.9998086094856262,NUCLEUS/CHROMATIN,0.0,0.0
Q9NV31,8.944306273406255e-08,5.104038791614585e-07,1.389494457271212e-07,1.3700457657250809e-08,5.0207759727527446e-08,0.9997943043708801,3.302037328012375e-07,5.084128133603372e-06,0.00018988379451911896,9.536195648252033e-06,NUCLEUS/CHROMATIN,0.9997943043708801,NUCLEUS/CHROMATIN,0.0,0.0
Q9Y3C1,7.721685051365057e-07,6.825647460573236e-07,2.2382369024853688e-07,1.413454242538137e-07,4.571129011310404e-06,0.9997628331184387,2.2794097276346292e-06,2.7283838790026493e-05,7.234152690216433e-06,0.000194023028598167,NUCLEUS/CHROMATIN,0.9997628331184387,NUCLEUS/CHROMATIN,0.0,0.0
Q9UJ83-2,2.4939250579336658e-05,0.00022218892991077155,1.9878914372384315e-06,1.557679411234858e-06,3.7959514997965016e-07,7.314634444810508e-07,0.9997397065162659,1.979941316676559e-06,1.726487539599475e-06,4.746575541503262e-06,PEROXISOME,0.9997397065162659,PEROXISOME,0.0,0.0
Q9NRL2,2.3324859284912236e-05,3.003499386977637e-06,2.5234163558707223e-07,1.533197746539372e-06,1.9295943275210448e-05,0.9997349381446838,2.22962953557726e-05,0.00015796447405591607,5.1306424211361445e-06,3.22647720167879e-05,NUCLEUS/CHROMATIN,0.9997349381446838,NUCLEUS/CHROMATIN,0.0,0.0
O60287,2.6024576982308645e-07,1.3364488040679134e-06,2.05438311695616e-07,3.0797369987567436e-08,9.24668199786538e-08,0.9997338652610779,1.1185514949829667e-06,9.1016245278297e-06,0.0002439453237457201,1.0149015906790737e-05,NUCLEUS/CHROMATIN,0.9997338652610779,NUCLEUS/CHROMATIN,0.0,0.0
Q9Y2R4,3.350144197611371e-07,3.343241772313377e-08,4.559970179229822e-08,3.7766586302723226e-08,1.4334045772557147e-06,0.9996792078018188,5.946676537860185e-06,1.3839272469340358e-05,0.00015159868053160608,0.00014759652549400926,NUCLEUS/CHROMATIN,0.9996792078018188,NUCLEUS/CHROMATIN,0.0,0.0
O15226,2.5458228947172756e-07,1.994742504507485e-08,4.4344524496864324e-08,2.591620429370778e-08,1.669496668910142e-06,0.9996774196624756,3.4985359889105894e-06,1.3323781786311883e-05,0.0001691108918748796,0.00013463242794387043,NUCLEUS/CHROMATIN,0.9996774196624756,NUCLEUS/CHROMATIN,0.0,0.0
Q9NPE3,6.3484876591246575e-06,3.8136124658194603e-06,1.5925954812701093e-06,1.8731084310275037e-06,1.159582370746648e-05,0.9996308088302612,1.2331054676906206e-05,8.006866846699268e-05,4.944893589708954e-05,0.0002021405816776678,NUCLEUS/CHROMATIN,0.9996308088302612,NUCLEUS/CHROMATIN,0.0,0.0
P05106,8.84914697962813e-06,1.2562956726469565e-05,5.47602326150809e-07,8.959877595771104e-05,0.00024322071112692356,1.2258670722076204e-05,1.8595809478938463e-06,0.9996258020401001,4.3173467929591425e-06,9.92426407719904e-07,PM,0.9996258020401001,PM,0.0,0.0
O95239,5.147876072442159e-05,5.206702553550713e-06,7.375820700872282e-07,2.963935457955813e-06,6.126052903709933e-05,0.9996165037155151,3.798177931457758e-05,0.0001224109873874113,1.6428999515483156e-05,8.500649710185826e-05,NUCLEUS/CHROMATIN,0.9996165037155151,NUCLEUS/CHROMATIN,0.0,0.0
O95478,3.9499926174357824e-07,2.642821982590249e-06,7.901014100752946e-07,7.262983103828446e-08,1.7561416143507813e-07,0.999575674533844,2.0942702576576266e-06,1.1357528819644358e-05,0.00035798957105726004,4.877325045526959e-05,NUCLEUS/CHROMATIN,0.999575674533844,NUCLEUS/CHROMATIN,0.0,0.0
Q96SB8,8.967477356236486e-07,1.4415388250199612e-05,1.3970080772196525e-06,2.1406432892945304e-07,7.533275265814154e-07,0.9995181560516357,4.518672540143598e-06,0.00012311739556025714,0.0002794638567138463,5.707576929125935e-05,NUCLEUS/CHROMATIN,0.9995181560516357,NUCLEUS/CHROMATIN,0.0,0.0
Q9NYH9,1.0114375754710636e-06,6.072058113204548e-06,7.847944516470307e-07,1.3094759765408526e-07,3.3109137120845844e-07,0.9994205236434937,4.50024708698038e-06,4.048256960231811e-05,0.0005038372473791242,2.2261410776991397e-05,NUCLEUS/CHROMATIN,0.9994205236434937,NUCLEUS/CHROMATIN,0.0,0.0
P53794,1.9520688510965556e-05,0.00015018742124084383,2.3252209757629316e-06,0.00013636445510201156,0.0002576280094217509,3.1734736694488674e-05,1.0216240298177581e-05,0.9993778467178345,1.0159596058656462e-05,3.958685283578234e-06,PM,0.9993778467178345,PM,0.0,0.0
P19022,2.6066969439852983e-05,2.4117940483847633e-05,1.5057190694278688e-06,0.00017949112225323915,0.0004160521493759006,3.722941255546175e-05,7.009342880337499e-06,0.9992930889129639,1.241767040482955e-05,2.9903417271270882e-06,PM,0.9992930889129639,PM,0.0,0.0
P50895,3.048917460546363e-05,3.757786544156261e-05,2.3616862563358154e-06,0.000264246977167204,0.0004510911530815065,3.7641602830262855e-05,9.124648386205081e-06,0.9991488456726074,1.4988108887337148e-05,3.620490588218672e-06,PM,0.9991488456726074,PM,0.0,0.0
Q969X6,2.5390654627699405e-05,1.655346386542078e-05,5.352218863663438e-07,4.706456820713356e-06,6.884198955958709e-05,0.999099850654602,1.537321077194065e-05,3.1854884582571685e-05,0.000504116527736187,0.00023291898833122104,NUCLEUS/CHROMATIN,0.999099850654602,NUCLEUS/CHROMATIN,0.0,0.0
P51659,3.1475461582886055e-05,0.0008576377294957638,5.1770362006209325e-06,3.5410942018643254e-06,7.423966508213198e-07,1.6826107867018436e-06,0.9990793466567993,6.9408661147463135e-06,3.0345308914547786e-06,1.0455526535224635e-05,PEROXISOME,0.9990793466567993,PEROXISOME,0.0,0.0
P55769,3.2546145121159498e-06,4.905487571704725e-07,5.276182832858467e-07,5.14267753715103e-07,7.011040452198358e-06,0.9990680813789368,3.442979868850671e-05,4.2722986108856276e-05,0.0005492233904078603,0.00029370709671638906,NUCLEUS/CHROMATIN,0.9990680813789368,NUCLEUS/CHROMATIN,0.0,0.0
P37837,0.9989163875579834,3.250434303936345e-07,4.934217656682449e-08,4.139993507124018e-06,0.0005225552595220506,5.96713698541862e-06,3.4806449548341334e-05,3.4667911677388474e-05,0.0004811939434148371,8.045726218597338e-08,CYTOSOL,0.9989163875579834,CYTOSOL,0.0,0.0
Q9UIW2,4.7990266466513276e-05,0.00013775410479865968,7.563769031548873e-06,0.0003415441024117172,0.00043950637336820364,6.973778363317251e-05,2.846555071300827e-05,0.99888676404953,3.1172905437415466e-05,9.566169865138363e-06,PM,0.99888676404953,PM,0.0,0.0
P17174,0.9988656044006348,3.892482141054643e-07,5.6533259851221374e-08,5.589557986240834e-06,0.0005979810957796872,6.599097559956135e-06,6.186436803545803e-05,5.091479397378862e-05,0.00041096931090578437,1.0423832463857252e-07,CYTOSOL,0.9988656044006348,CYTOSOL,0.0,0.0
Q8N684-2,7.379501312243519e-07,2.241793168877848e-07,3.921208815427235e-07,1.7959315812277055e-07,4.9211766963708214e-06,0.9987686276435852,2.3183703888207674e-05,3.978893437306397e-05,0.0003096728469245136,0.0008521963027305901,NUCLEUS/CHROMATIN,0.9987686276435852,NUCLEUS/CHROMATIN,0.0,0.0
P08648,3.143812864436768e-05,0.0005142711452208459,6.72191481498885e-06,0.00025661097606644034,0.00031750023481436074,5.786532710772008e-05,2.7781885364674963e-05,0.9987587928771973,2.0022987882839516e-05,8.96572873898549e-06,PM,0.9987587928771973,PM,0.0,0.0
P31153,0.9987497329711914,5.08048515257542e-07,8.967160880501979e-08,5.209446044318611e-06,0.0005347162950783968,6.123552338976879e-06,5.239382880972698e-05,3.394013037905097e-05,0.000617238343693316,1.1868732485709188e-07,CYTOSOL,0.9987497329711914,CYTOSOL,0.0,0.0
P20020-6,4.1485120163997635e-05,1.4100784028414637e-05,1.321337208537443e-06,0.00020804847008548677,0.0009157044696621597,5.3557429055217654e-05,6.249598754948238e-06,0.9987389445304871,1.687871372269001e-05,3.678872417367529e-06,PM,0.9987389445304871,PM,0.0,0.0
Q8TAA9,5.246587170404382e-05,8.89418224687688e-05,5.84960071137175e-06,0.0004204060242045671,0.0006357455858960748,6.747418228769675e-05,1.94345284398878e-05,0.9986733198165894,2.838327782228589e-05,8.015076673473231e-06,PM,0.9986733198165894,PM,0.0,0.0
Q86SF2,6.077987535491047e-08,4.105319021618925e-06,0.9986369013786316,0.0005547809996642172,0.0004144883423577994,5.241304279479664e-07,3.247772838221863e-06,0.00010834063868969679,0.00014813833695370704,0.00012948659423273057,GA,0.9986369013786316,GA,0.0,0.0
Q9NVP1,9.857659506451455e-07,1.9787385951985925e-07,4.726329621007608e-07,1.7290231824063085e-07,7.789551091264002e-06,0.9985804557800293,1.9061146304011345e-05,4.327650094637647e-05,0.00044908805284649134,0.0008984121377579868,NUCLEUS/CHROMATIN,0.9985804557800293,NUCLEUS/CHROMATIN,0.0,0.0
O60216,5.1459366659400985e-05,3.4454573324183e-05,1.2971919431947754e-06,1.1536776582943276e-05,0.00012645880633499473,0.9984739422798157,3.03935885312967e-05,5.9545225667534396e-05,0.0008477380615659058,0.00036326510598883033,NUCLEUS/CHROMATIN,0.9984739422798157,NUCLEUS/CHROMATIN,0.0,0.0
Q14126,0.00029709446243941784,1.0808730621647555e-05,8.055403668549843e-06,0.00014382533845491707,0.0007121086237020791,0.0003717353392858058,2.3116841475712135e-05,0.9983596205711365,7.111117156455293e-05,2.4897947241697693e-06,PM,0.9983596205711365,PM,0.0,0.0
Q3KQV9,0.9983103275299072,1.123028823712957e-06,1.6857894991062494e-07,1.0970333278237376e-05,0.0008638995932415128,1.2040902220178396e-05,0.0001236399548361078,7.286803156603128e-05,0.0006047898204997182,2.923703732449212e-07,CYTOSOL,0.9983103275299072,CYTOSOL,0.0,0.0
Q9NR30,3.7267531297402456e-05,1.285773350900854e-06,3.24176926369546e-06,3.38122572429711e-06,6.452573143178597e-05,0.9982483386993408,7.834424650354777e-06,0.0006945292698219419,0.0007982680690474808,0.00014142482541501522,NUCLEUS/CHROMATIN,0.9982483386993408,NUCLEUS/CHROMATIN,0.0,0.0
P30711,0.9981733560562134,1.1563330417629913e-06,1.920773939900755e-07,1.1066734259657096e-05,0.0008013616316020489,1.567655817780178e-05,0.00011429726146161556,8.4085957496427e-05,0.0007983524701558053,3.101372101355082e-07,CYTOSOL,0.9981733560562134,CYTOSOL,0.0,0.0
Q14690,2.9998578611412086e-05,3.9284344666157267e-07,1.5159127997321775e-06,2.0832553673244547e-06,4.767043355968781e-05,0.9981662631034851,4.617137619788991e-06,0.0011084940051659942,0.0005799525533802807,5.8974139392375946e-05,NUCLEUS/CHROMATIN,0.9981662631034851,NUCLEUS/CHROMATIN,0.0,0.0
Q8IY18,4.487374098971486e-06,1.4484598978015129e-06,1.1724662272172282e-06,9.975865395972505e-07,1.550631714053452e-05,0.9981606602668762,6.567118543898687e-05,0.00012818076356779784,0.0005931502673774958,0.0010287206387147307,NUCLEUS/CHROMATIN,0.9981606602668762,NUCLEUS/CHROMATIN,0.0,0.0
P13798,0.9981167316436768,7.140139359762543e-07,1.9050750665883243e-07,8.10440269560786e-06,0.0007005513180047274,8.838046596792992e-06,9.570558177074417e-05,4.9988833779934794e-05,0.0010189482709392905,2.2543723332546506e-07,CYTOSOL,0.9981167316436768,CYTOSOL,0.0,0.0
P46013,1.4396157894225325e-05,7.804147026035935e-05,1.4948171838113922e-06,9.918827572619193e-07,4.7430680751858745e-06,0.9981105327606201,4.0139064367394894e-05,0.0009140733163803816,0.0008055525831878185,3.016420487256255e-05,NUCLEUS/CHROMATIN,0.9981105327606201,NUCLEUS/CHROMATIN,0.0,0.0
P17301,0.00028158308123238385,7.01980343364994e-06,9.20023194339592e-06,0.00017347928951494396,0.000964164559263736,0.0003612797590903938,1.8851420463761315e-05,0.9981098175048828,7.205574365798384e-05,2.5357403501402587e-06,PM,0.9981098175048828,PM,0.0,0.0
Q92692,0.0002511247294023633,6.379651495080907e-06,7.421162081300281e-06,0.0001468271657358855,0.0010791124077513814,0.00032523597474209964,1.4169906535244081e-05,0.9981054067611694,6.217415648279712e-05,2.1773382741230307e-06,PM,0.9981054067611694,PM,0.0,0.0
P36871,0.9981027245521545,9.693713991509867e-07,1.6277935799280385e-07,1.0234956789645366e-05,0.0008558259578421712,1.591896034369711e-05,8.495558722643182e-05,8.606997289462015e-05,0.0008430342422798276,2.6630448246578453e-07,CYTOSOL,0.9981027245521545,CYTOSOL,0.0,0.0
O75643,5.2730618335772306e-05,3.5012784792343155e-05,1.753843571350444e-05,1.8422484572511166e-05,7.958692003739998e-05,0.9981009364128113,7.70125916460529e-05,0.0003806946624536067,0.00034334545489400625,0.0008947745664045215,NUCLEUS/CHROMATIN,0.9981009364128113,NUCLEUS/CHROMATIN,0.0,0.0
Q9H0L4,6.84718179400079e-05,3.956923319492489e-05,1.0407675290480256e-05,2.180395313189365e-05,8.763201185502112e-05,0.9980508089065552,7.414131687255576e-05,0.0011746753007173538,8.10157653177157e-05,0.0003915285342372954,NUCLEUS/CHROMATIN,0.9980508089065552,NUCLEUS/CHROMATIN,0.0,0.0
P08574,2.387331369391177e-05,3.952357292291708e-05,1.7884583940031007e-05,0.0011408436112105846,0.9979997277259827,9.003882951219566e-06,4.07171546612517e-06,0.0007393386331386864,1.1635023838607594e-05,1.4074230421101674e-05,MITOCHONDRION,0.9979997277259827,MITOCHONDRION,0.0,0.0
P49588,0.9979972243309021,1.4856518646411132e-06,2.4432955569864134e-07,1.4442472092923708e-05,0.0009516722639091313,1.6374846381950192e-05,0.00012953515397384763,9.750142635311931e-05,0.0007910230197012424,3.7936200669719256e-07,CYTOSOL,0.9979972243309021,CYTOSOL,0.0,0.0
O00567,7.518302300013602e-05,7.028516120044515e-05,3.3214432733075228e-06,1.8783712221193127e-05,0.00012282663374207914,0.9979690909385681,6.099653182900511e-05,0.00010241118434350938,0.0010275040986016393,0.0005494878860190511,NUCLEUS/CHROMATIN,0.9979690909385681,NUCLEUS/CHROMATIN,0.0,0.0
Q7RTV0,8.710463589522988e-05,4.52724561910145e-05,2.0957511878805235e-05,2.6989677280653268e-05,0.0001125015041907318,0.9979152083396912,0.0001103448958019726,0.0005266593070700765,0.0003194637829437852,0.0008355177706107497,NUCLEUS/CHROMATIN,0.9979152083396912,NUCLEUS/CHROMATIN,0.0,0.0
O75781,0.00010000815382227302,4.4299235014477745e-05,3.3821222586993827e-06,0.0004079887003172189,0.001326639554463327,0.00013359426520764828,2.1527344870264642e-05,0.9979142546653748,3.852970985462889e-05,9.808134564082138e-06,PM,0.9979142546653748,PM,0.0,0.0
P34932,0.9979119896888733,9.836096523940796e-07,1.8472879048658797e-07,1.2605882147909142e-05,0.0011175577528774738,1.50125024447334e-05,8.609563519712538e-05,9.706505079520866e-05,0.0007581435493193567,2.9967401360408985e-07,CYTOSOL,0.9979119896888733,CYTOSOL,0.0,0.0
P26440,0.00046143188956193626,1.2265647910680855e-06,2.9760505640297197e-05,0.0011147840414196253,0.9978904128074646,2.0533798306132667e-05,3.432286757742986e-05,0.0002358722995268181,0.00012983170745428652,8.170511136995628e-05,MITOCHONDRION,0.9978904128074646,MITOCHONDRION,0.0,0.0
O95602,1.1718620953615755e-05,1.1540620334926643e-06,1.733839212647581e-06,1.8418587615087745e-06,2.9267104764585383e-05,0.9978541731834412,7.375924178631976e-05,8.05179079179652e-05,0.00139007274992764,0.0005557417753152549,NUCLEUS/CHROMATIN,0.9978541731834412,NUCLEUS/CHROMATIN,0.0,0.0
P33908,1.3856912062237825e-07,7.357365120697068e-06,0.9976341724395752,0.0011498592793941498,0.0006448139902204275,9.580684263710282e-07,6.465552814916009e-06,0.0001835507428040728,0.00021346076391637325,0.00015930322115309536,GA,0.9976341724395752,GA,0.0,0.0
Q13151,1.8313420468984987e-06,6.989078542574134e-07,1.1783440641011111e-06,4.7416872916983266e-07,1.3060063793091103e-05,0.9975969195365906,4.46021840616595e-05,9.556610893923789e-05,0.0005395199987106025,0.0017061596736311913,NUCLEUS/CHROMATIN,0.9975969195365906,NUCLEUS/CHROMATIN,0.0,0.0
Q8N3U4,8.351568976650015e-05,4.490427454584278e-05,2.283243247802602e-06,1.4334335901367012e-05,0.0001941851805895567,0.9975560903549194,5.010704990127124e-05,6.945908535271883e-05,0.0013514558086171746,0.0006336384685710073,NUCLEUS/CHROMATIN,0.9975560903549194,NUCLEUS/CHROMATIN,0.0,0.0
P29323-2,0.0003656668122857809,1.4975904377934057e-05,1.7279444364248775e-05,0.0002985311148222536,0.0012464744504541159,0.00043303152779117227,3.0326282285386696e-05,0.9974873065948486,0.00010206521983491257,4.3193213059566915e-06,PM,0.9974873065948486,PM,0.0,0.0
Q02878,8.06487548743462e-07,0.0004617116937879473,0.0005928719183430076,1.7622851373744197e-06,0.0001313648244831711,0.0010867146775126457,0.00012912189413327724,4.7820234613027424e-05,9.157903696177527e-05,0.9974562525749207,RIBOSOME,0.9974562525749207,RIBOSOME,0.0,0.0
Q9Y3T9,5.5799329857109115e-05,1.5919445104373153e-06,5.2577552196453325e-06,5.6109761317202356e-06,0.00011468096636235714,0.9974209070205688,1.0993230716849212e-05,0.001103330054320395,0.0010945454705506563,0.00018734807963483036,NUCLEUS/CHROMATIN,0.9974209070205688,NUCLEUS/CHROMATIN,0.0,0.0
O15031,0.00038670378853566945,4.420186814968474e-05,2.634557858982589e-05,0.00041541835526004434,0.0011176660191267729,0.00043483456829562783,4.6901484893169254e-05,0.997403085231781,0.00011888986045960337,5.932384283369174e-06,PM,0.997403085231781,PM,0.0,0.0
Q5SSJ5,0.00019706960301846266,0.00013725385360885412,3.593577503124834e-06,6.542943447129801e-05,0.00023344639339484274,0.9972736239433289,0.00012385894660837948,0.00013173605839256197,0.0014553905930370092,0.00037855227128602564,NUCLEUS/CHROMATIN,0.9972736239433289,NUCLEUS/CHROMATIN,0.0,0.0
Q10471,1.1750279327316093e-07,4.746392733068205e-06,0.9971683621406555,0.0013459159526973963,0.0009009901550598443,8.524295367351442e-07,5.232082457951037e-06,0.00020604446763172746,0.0002192349056713283,0.00014861843374092132,GA,0.9971683621406555,GA,0.0,0.0
O00461,2.7252119139120623e-07,2.571441109466832e-05,0.9971083998680115,0.0015094645787030458,0.0005919737159274518,1.5347945918620098e-06,1.1068430467275903e-05,0.00032810616539791226,0.00023960320686455816,0.00018391470075584948,GA,0.9971083998680115,GA,0.0,0.0
